sku,product_slug,product_name,construction,material,material_grade,wire_rope_diameter_min_mm,wire_rope_diameter_max_mm,coating_material,coating_color,finished_diameter_min_mm,finished_diameter_max_mm,length_min_mm,length_max_mm,length_tolerance,core,lay_direction,surface_finish,end_a_type,end_a_thread,end_a_dimensions,end_b_type,end_b_thread,end_b_dimensions,breaking_load,working_load,load_unit,applicable_standard,moq,sample_lead_time,production_lead_time,packaging,customization_options,drawing_file,datasheet_file,verification_status,reviewed_by,reviewed_at,notes,retracted_length_mm,extended_length_mm,upper_fitting,lower_fitting,gripper_type,inner_cable,outer_casing,stroke_mm,compatible_wire_rope_diameter_min_mm,compatible_wire_rope_diameter_max_mm
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,1x7;7x7;7x19;1x19,Galvanized Steel;Stainless Steel,TBD,0.6,11,PVC;PU;Nylon;PE,Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,7 days when required materials are in stock,TBD,Diameter;Construction;Material;Coating;Coating Color;End Fittings,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,unverified,,,No sufficiently matched product-page evidence was accepted. Applicable fields remain to be confirmed.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,TBD,Stainless Steel,TBD,TBD,TBD,PU,Gray,5,5,TBD,TBD,TBD,TBD,TBD,TBD,Aluminum Hook,TBD,TBD,Aluminum Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Color;End Hooks,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,TBD,Stainless Steel,TBD,TBD,TBD,PVC,Purple,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Color;Carabiner;Hook-and-loop Attachment,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,7x19,Stainless Steel;Galvanized Steel,TBD,2,2,PVC;PU;PE;Nylon,TBD,TBD,TBD,1000,3000,TBD,TBD,TBD,TBD,Hook,TBD,TBD,Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Coating Material;End Hooks,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,TBD,Stainless Steel,TBD,TBD,TBD,PU,Gray,5,5,TBD,TBD,TBD,TBD,TBD,TBD,Aluminum Hook,TBD,TBD,Aluminum Hook,TBD,TBD,TBD,TBD,TBD,TBD,500 pcs,TBD,TBD,TBD,Length;Color;End Hooks,TBD,TBD,incomplete,,,Source-backed fields are incomplete and require manual confirmation. Evidence and conflicts are recorded in internal audit files.,TBD,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
