sku,product_slug,product_name,expected_folder,folder_exists,unexpected_files,invalid_filenames,external_image_reference,placeholder_status,status,notes
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,public/images/products/custom-wire-rope-cable-assembly/,true,,,,formal,ready,
GS-WRA-002,stainless-steel-wire-rope-assembly,Stainless Steel Wire Rope Assembly,public/images/products/stainless-steel-wire-rope-assembly/,true,,,,formal,ready,
GS-WRA-003,galvanized-wire-rope-assembly,Galvanized Wire Rope Assembly,public/images/products/galvanized-wire-rope-assembly/,true,,,,formal,ready,
GS-WRA-004,pvc-coated-wire-rope-assembly,PVC Coated Wire Rope Assembly,public/images/products/pvc-coated-wire-rope-assembly/,true,,,,formal,ready,
GS-WRA-005,wire-rope-assembly-with-eye-loops,Wire Rope Assembly with Eye Loops,public/images/products/wire-rope-assembly-with-eye-loops/,true,,,,formal,ready,
GS-WRA-006,wire-rope-assembly-with-carabiner-hook,Wire Rope Assembly with Carabiner Hook,public/images/products/wire-rope-assembly-with-carabiner-hook/,true,,,,formal,ready,
GS-LAN-001,coiled-tool-safety-lanyard,Coiled Tool Safety Lanyard,public/images/products/coiled-tool-safety-lanyard/,true,,,,formal,ready,
GS-LAN-002,tool-lanyard-with-carabiner,Tool Lanyard with Carabiner,public/images/products/tool-lanyard-with-carabiner/,true,,,,formal,ready,
GS-LAN-003,tool-lanyard-with-dual-hooks,Tool Lanyard with Dual Hooks,public/images/products/tool-lanyard-with-dual-hooks/,true,,,,formal,ready,
GS-LAN-004,spring-coil-safety-lanyard,Spring Coil Safety Lanyard,public/images/products/spring-coil-safety-lanyard/,true,,,,formal,ready,
GS-SUS-001,lighting-suspension-cable-kit,Lighting Suspension Cable Kit,public/images/products/lighting-suspension-cable-kit/,true,,,,formal,ready,
GS-SUS-002,adjustable-cable-gripper-kit,Adjustable Cable Gripper Kit,public/images/products/adjustable-cable-gripper-kit/,true,,,,formal,ready,
GS-SUS-003,led-panel-suspension-kit,LED Panel Suspension Kit,public/images/products/led-panel-suspension-kit/,true,,,,formal,ready,
GS-SUS-004,sign-hanging-cable-kit,Sign Hanging Cable Kit,public/images/products/sign-hanging-cable-kit/,true,,,,formal,ready,
GS-CTL-001,bowden-cable-assembly,Bowden Cable Assembly,public/images/products/bowden-cable-assembly/,true,,,,formal,ready,
GS-CTL-002,push-pull-control-cable,Push Pull Control Cable,public/images/products/push-pull-control-cable/,true,,,,formal,ready,
GS-CTL-003,brake-cable-assembly,Brake Cable Assembly,public/images/products/brake-cable-assembly/,true,,,,formal,ready,
GS-CTL-004,throttle-control-cable,Throttle Control Cable,public/images/products/throttle-control-cable/,true,,,,formal,ready,
GS-GYM-001,gym-equipment-cable-assembly,Gym Equipment Cable Assembly,public/images/products/gym-equipment-cable-assembly/,true,,,,formal,ready,
GS-GYM-002,weight-stack-cable-assembly,Weight Stack Cable Assembly,public/images/products/weight-stack-cable-assembly/,true,,,,formal,ready,
GS-GYM-003,pvc-coated-gym-cable,PVC Coated Gym Cable,public/images/products/pvc-coated-gym-cable/,true,,,,formal,ready,
GS-GYM-004,fitness-cable-with-ball-end,Fitness Cable with Ball End,public/images/products/fitness-cable-with-ball-end/,true,,,,formal,ready,
GS-FIT-001,wire-rope-thimble,Wire Rope Thimble,public/images/products/wire-rope-thimble/,true,,,,formal,ready,
GS-FIT-002,wire-rope-sleeve,Wire Rope Sleeve,public/images/products/wire-rope-sleeve/,true,,,,formal,ready,
GS-FIT-003,swage-terminal,Swage Terminal,public/images/products/swage-terminal/,true,,,,formal,ready,
GS-FIT-004,cable-gripper,Cable Gripper,public/images/products/cable-gripper/,true,,,,formal,ready,
