sku,product_slug,product_name,category,field_name,formal_value,candidate_value,candidate_basis,source_values,source_urls,source_statuses,conflict_statuses,source_text,manual_review_required,notes
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,construction,1x7;7x7;7x19;1x19,1x7;7x7;7x19;1x19,accepted,1x7;7x7;7x19;1x19,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,accepted,none,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",yes-before-approval,Formal accepted value copied for internal comparison.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,material,Galvanized Steel;Stainless Steel,Galvanized Steel;Stainless Steel,accepted,Galvanized Steel;Stainless Steel,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,accepted,none,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",yes-before-approval,Formal accepted value copied for internal comparison.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,material_grade,TBD,TBD,no-source,,,,,,yes,No source value available; remains TBD.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,wire_rope_diameter_min_mm,0.6,0.6,accepted,0.6,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,accepted,none,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",yes-before-approval,Formal accepted value copied for internal comparison.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,wire_rope_diameter_max_mm,11,11,accepted,11,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,accepted,none,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",yes-before-approval,Formal accepted value copied for internal comparison.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,coating_material,PVC;PU;Nylon;PE,PVC;PU;Nylon;PE,accepted,PVC;PU;Nylon;PE,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,accepted,none,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",yes-before-approval,Formal accepted value copied for internal comparison.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,coating_color,Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,accepted,Red;Yellow;Purple;Orange;Fluorescent Pink;Black;Transparent,https://www.wireropeassy.com/wire-rope-assembly/steel-wire-rope/galvanized-steel-braided-cable.html,accepted,none,"Diameter 0.6-11 mm; construction 1*7, 7*7, 7*19 and 1*19; galvanized or stainless steel; PVC, PU, nylon or PE coating; multiple listed colors; MOQ 500 pcs; 7 days if material is in stock.",yes-before-approval,Formal accepted value copied for internal comparison.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,finished_diameter_min_mm,TBD,TBD,no-source,,,,,,yes,No source value available; remains TBD.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,finished_diameter_max_mm,TBD,TBD,no-source,,,,,,yes,No source value available; remains TBD.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,length_min_mm,TBD,TBD,no-source,,,,,,yes,No source value available; remains TBD.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,length_max_mm,TBD,TBD,no-source,,,,,,yes,No source value available; remains TBD.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,length_tolerance,TBD,TBD,no-source,,,,,,yes,No source value available; remains TBD.
GS-WRA-001,custom-wire-rope-cable-assembly,Custom Wire Rope Cable Assembly,wire-rope-assemblies,core,TBD,TBD,no-source,,,,,,yes,No source value available; remains TBD.
