route,page_type,indexable,status,title,h1,canonical,included_in_sitemap,source,notes
/,home,true,expected-200,Custom Wire Rope Assemblies and Cable Solutions,Custom Wire Rope Assemblies and Cable Solutions,/,true,static,
/products,products-index,true,expected-200,Steel Wire Rope Products,Steel Wire Rope Products,/products,true,static,
/products/wire-rope-assemblies,product-category,true,expected-200,Wire Rope Assemblies,Wire Rope Assemblies,/products/wire-rope-assemblies,true,static,
/products/tool-safety-lanyards,product-category,true,expected-200,Tool & Safety Lanyards,Tool & Safety Lanyards,/products/tool-safety-lanyards,true,static,
/products/suspension-hanging-kits,product-category,true,expected-200,Suspension & Hanging Kits,Suspension & Hanging Kits,/products/suspension-hanging-kits,true,static,
/products/control-brake-cables,product-category,true,expected-200,Control & Brake Cables,Control & Brake Cables,/products/control-brake-cables,true,static,
/products/gym-fitness-cables,product-category,true,expected-200,Gym Fitness Cables,Gym Fitness Cables,/products/gym-fitness-cables,true,static,
/products/wire-rope-fittings,product-category,true,expected-200,Wire Rope Fittings,Wire Rope Fittings,/products/wire-rope-fittings,true,static,
/constructions/1x7,construction,true,expected-200,1x7 Wire Rope Construction,1x7 Wire Rope Construction,/constructions/1x7,true,static,
/constructions/1x19,construction,true,expected-200,1x19 Wire Rope Construction,1x19 Wire Rope Construction,/constructions/1x19,true,static,
/constructions/6x7,construction,true,expected-200,6x7 Wire Rope Construction,6x7 Wire Rope Construction,/constructions/6x7,true,static,
/constructions/6x19,construction,true,expected-200,6x19 Wire Rope Construction,6x19 Wire Rope Construction,/constructions/6x19,true,static,
/constructions/6x36,construction,true,expected-200,6x36 Wire Rope Construction,6x36 Wire Rope Construction,/constructions/6x36,true,static,
/constructions/7x7,construction,true,expected-200,7x7 Wire Rope Construction,7x7 Wire Rope Construction,/constructions/7x7,true,static,
/constructions/7x19,construction,true,expected-200,7x19 Wire Rope Construction,7x19 Wire Rope Construction,/constructions/7x19,true,static,
/constructions/rotation-resistant,construction,true,expected-200,rotation-resistant Wire Rope Construction,rotation-resistant Wire Rope Construction,/constructions/rotation-resistant,true,static,
/applications/marine,application,true,expected-200,Marine Wire Rope Applications,Marine Wire Rope Applications,/applications/marine,true,static,
/applications/crane-and-lifting,application,true,expected-200,Crane and Lifting Wire Rope Applications,Crane and Lifting Wire Rope Applications,/applications/crane-and-lifting,true,static,
/applications/architectural,application,true,expected-200,Architectural Wire Rope Applications,Architectural Wire Rope Applications,/applications/architectural,true,static,
/applications/security-cables,application,true,expected-200,Security Cables Wire Rope Applications,Security Cables Wire Rope Applications,/applications/security-cables,true,static,
/applications/control-cables,application,true,expected-200,Control Cables Wire Rope Applications,Control Cables Wire Rope Applications,/applications/control-cables,true,static,
/applications/fitness-equipment,application,true,expected-200,Fitness Equipment Wire Rope Applications,Fitness Equipment Wire Rope Applications,/applications/fitness-equipment,true,static,
/applications/industrial-assemblies,application,true,expected-200,Industrial Assemblies Wire Rope Applications,Industrial Assemblies Wire Rope Applications,/applications/industrial-assemblies,true,static,
/capabilities/custom-wire-rope-assemblies,capability,true,expected-200,Custom Wire Rope Assemblies,Custom Wire Rope Assemblies,/capabilities/custom-wire-rope-assemblies,true,static,
/capabilities/cutting,capability,true,expected-200,Cutting,Cutting,/capabilities/cutting,true,static,
