source_domain,source_url,original_product_name,original_category,product_type,material,coating,construction,end_fitting,application,migration_status,duplicate_group,target_slug,target_category,notes
justwirerope.com,https://justwirerope.com/,Bespoke Wire Rope Assembly,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/shop/,Products归档,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/,Tool lanyard,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/anti-lost-safety-rope/,Anti,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/diving-camera-lanyard-with-quick-release-buckle/,Diving camera lanyard with Quick Release Buckle,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/dog-tie-out-cable-with-pvc-coating/,Dog Tie Out Cable with PVC Coating,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/high-quality-spring-lanyard-with-two-hooks/,High,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/lanyard-coil-spring-wire-for-safety-fall-protection/,Lanyard Coil Spring Wire for Safety Fall Protection,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/high-quality-tool-lanyard-portable-spring-wire-rope/,High,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/lightweight-safety-coils-lanyard/,Lightweight Safety Coils lanyard,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/retractable-coil-lanyard-for-safety/,Retractable Coil Lanyard for safety,,product-or-category,stainless steel,PVC,,carabiner hook,fitness-equipment,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/retractable-spring-coil-keychain-spiral-lanyards/,Retractable Spring Coil Keychain Spiral Lanyards,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/safety-dog-leash-with-handle/,Safety Dog Leash With Handle,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/safety-tool-lanyard-with-d-hook-stretchable/,Safety Tool Lanyard With D Hook Stretchable,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
justwirerope.com,https://justwirerope.com/products/stainless-steel-convenient-safety-cable-saw/,Stainless Steel Convenient Safety Cable Saw,,product-or-category,stainless steel,PVC,,carabiner hook,architectural,discovered,,,,Extracted from public page title/body for migration review.
