source_domain,source_url,page_type,original_title,original_category,original_product_name,migration_status,target_slug,target_category,duplicate_group,content_extracted,product_data_extracted,contact_data_removed,brand_data_removed,image_status,notes
justwirerope.com,https://justwirerope.com/,product-or-category,One stop Wire Ropes Assemblies Manufacturer in China-Guofeng,,Bespoke Wire Rope Assembly,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/sitemap.xml,error,,,,error,,,,false,false,true,true,pending,HTTP 301
justwirerope.com,https://justwirerope.com/about-us/,skipped,About Us - Goufeng,,Your Professional Wire Rope Supplier in China,skipped,,,,false,false,true,true,pending,Skipped non-product/service page.
justwirerope.com,https://justwirerope.com/shop/,product-or-category,Products归档 - GuoFeng,,,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/tool-lanyard/,product-or-category,Tool lanyard Archives - GuoFeng,,Tool lanyard,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/anti-lost-safety-rope/,product-or-category,Anti-lost Safety Rope Manufacturer - GuoFeng,,Anti-lost Safety Rope,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/diving-camera-lanyard-with-quick-release-buckle/,product-or-category,Diving camera lanyard with Quick Release Buckle - GuoFeng,,Diving camera lanyard with Quick Release Buckle,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/dog-tie-out-cable-with-pvc-coating/,product-or-category,Dog Tie Out Cable with PVC Coating - GuoFeng,,Dog Tie Out Cable with PVC Coating,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/high-quality-spring-lanyard-with-two-hooks/,product-or-category,High-Quality Spring Lanyard With Two Hooks - GuoFeng,,High-Quality Spring Lanyard With Two Hooks,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/lanyard-coil-spring-wire-for-safety-fall-protection/,product-or-category,Lanyard Coil Spring Wire for Safety Fall Protection - GuoFeng,,Lanyard Coil Spring Wire for Safety Fall Protection,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/high-quality-tool-lanyard-portable-spring-wire-rope/,product-or-category,High-quality tool lanyard portable spring wire rope - GuoFeng,,High-quality tool lanyard portable spring wire rope,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/lightweight-safety-coils-lanyard/,product-or-category,Lightweight Safety Coils lanyard - GuoFeng,,Lightweight Safety Coils lanyard,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/retractable-coil-lanyard-for-safety/,product-or-category,Retractable Coil Lanyard for safety - GuoFeng,,Retractable Coil Lanyard for safety,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/retractable-spring-coil-keychain-spiral-lanyards/,product-or-category,Retractable Spring Coil Keychain Spiral Lanyards - GuoFeng,,Retractable Spring Coil Keychain Spiral Lanyards,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/safety-dog-leash-with-handle/,product-or-category,Safety Dog Leash With Handle - GuoFeng,,Safety Dog Leash With Handle,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/safety-tool-lanyard-with-d-hook-stretchable/,product-or-category,Safety Tool Lanyard With D Hook Stretchable - GuoFeng,,Safety Tool Lanyard With D Hook Stretchable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/stainless-steel-convenient-safety-cable-saw/,product-or-category,Stainless Steel Convenient Safety Cable Saw - GuoFeng,,Stainless Steel Convenient Safety Cable Saw,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/high-quality-tool-lanyard-for-height-work/,product-or-category,High-quality tool lanyard for height work - GuoFeng,,High-quality tool lanyard for height work,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/brake-cable/,product-or-category,Brake cable Archives - GuoFeng,,Brake cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/automobile-bowden-trailer-brake-cable/,product-or-category,Automobile bowden trailer brake cable - GuoFeng,,Automobile bowden trailer brake cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/bicycle-brake-cable-customizable-lengths-colors/,product-or-category,Bicycle Brake Cable | Customizable Lengths & Colors - GuoFeng,,Bicycle Brake Cable | Customizable Lengths & Colors,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/brake-cable-for-vehicle-safety/,product-or-category,Brake cable for vehicle safety - GuoFeng,,Brake cable for vehicle safety,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/m8-oil-control-cable-to-install-on-motorcycle/,product-or-category,M8 Oil Control Cable To Install On Motorcycle - GuoFeng,,M8 Oil Control Cable To Install On Motorcycle,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/marine-push-pull-control-cable/,product-or-category,Marine Push Pull Control Cable - GuoFeng,,Marine Push Pull Control Cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/wire-flexible-throttle-control-cables/,product-or-category,Wire Flexible Throttle Control Cables - GuoFeng,,Wire Flexible Throttle Control Cables,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/customized-outboard-throttle-control-cable-brake-cable/,product-or-category,Customized outboard throttle control cable brake cable - GuoFeng,,Customized outboard throttle control cable brake cable,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/hanging-kit/,product-or-category,Hanging kit Archives - GuoFeng,,Hanging kit,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/adjustable-cable-grip-wholesale-custom/,product-or-category,Adjustable Cable Grip Wholesale Custom - GuoFeng,,Adjustable Cable Grip Wholesale Custom,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/durable-suspension-hanging-kits/,product-or-category,Durable Suspension Hanging Kits - GuoFeng,,Durable Suspension Hanging Kits,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/suspension-hanging-kit-adjustable-for-panel-hanging/,product-or-category,Suspension hanging Kit Adjustable for Panel Hanging - GuoFeng,,Suspension hanging Kit Adjustable for Panel Hanging,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/product-category/wire-rope-assembly/,product-or-category,Wire rope assembly Archives - GuoFeng,,Wire rope assembly,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/d-type-wire-lock-pin-with-tongue/,product-or-category,D Type Wire Lock Pin With Tongue - GuoFeng,,D Type Wire Lock Pin With Tongue,discovered,,,,false,false,true,true,pending,Discovered public page.
justwirerope.com,https://justwirerope.com/products/metal-eyelet-terminals-for-wire-rope-cable/,product-or-category,Metal Eyelet Terminals For Wire Rope Cable - GuoFeng,,Metal Eyelet Terminals For Wire Rope Cable,discovered,,,,false,false,true,true,pending,Discovered public page.
